sno,observationdate,province/state,country/region,last update,confirmed,deaths,recovered
1266,02/11/2020,Hong Kong,Hong Kong,2020-02-11T09:43:02,49,1,0
1341,02/12/2020,Hong Kong,Hong Kong,2020-02-12T09:53:02,50,1,1
1417,02/13/2020,Hong Kong,Hong Kong,2020-02-13T14:53:02,53,1,1
1493,02/14/2020,Hong Kong,Hong Kong,2020-02-14T09:03:12,56,1,1
1570,02/15/2020,Hong Kong,Hong Kong,2020-02-14T09:03:12,56,1,1
1648,02/16/2020,Hong Kong,Hong Kong,2020-02-16T09:53:01,57,1,2
1725,02/17/2020,Hong Kong,Hong Kong,2020-02-17T22:53:01,60,1,2
1802,02/18/2020,Hong Kong,Hong Kong,2020-02-18T23:43:02,62,1,2
1879,02/19/2020,Hong Kong,Hong Kong,2020-02-19T12:13:08,63,2,5
1958,02/20/2020,Hong Kong,Hong Kong,2020-02-20T23:13:05,68,2,6
2036,02/21/2020,Hong Kong,Hong Kong,2020-02-21T03:43:02,68,2,5
2122,02/22/2020,Hong Kong,Hong Kong,2020-02-22T13:23:05,69,2,6
2208,02/23/2020,Hong Kong,Hong Kong,2020-02-23T09:53:02,74,2,11
2293,02/24/2020,Hong Kong,Hong Kong,2020-02-24T11:23:06,79,2,19
2386,02/25/2020,Hong Kong,Hong Kong,2020-02-25T09:43:02,84,2,19
2481,02/26/2020,Hong Kong,Hong Kong,2020-02-26T23:43:02,91,2,24
2584,02/27/2020,Hong Kong,Hong Kong,2020-02-27T09:53:02,92,2,24
2689,02/28/2020,Hong Kong,Hong Kong,2020-02-28T10:03:12,94,2,30
2807,02/29/2020,Hong Kong,Hong Kong,2020-02-29T23:53:02,95,2,33
